"date","zone_id","region","type","count"
2022-06-30,2,"Bronx: Grand Concourse","Condition attracting rodents",114
2022-06-30,2,"Bronx: Grand Concourse","Mouse sighting",80
2022-06-30,2,"Bronx: Grand Concourse","Rat sighting",509
2022-06-30,2,"Bronx: Grand Concourse","Signs of rodents",59
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Condition attracting rodents",178
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Mouse sighting",50
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Rat sighting",810
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Signs of rodents",127
2022-06-30,4,"Manhattan: Harlem","Condition attracting rodents",168
2022-06-30,4,"Manhattan: Harlem","Mouse sighting",129
2022-06-30,4,"Manhattan: Harlem","Rat sighting",1145
2022-06-30,4,"Manhattan: Harlem","Signs of rodents",501
2022-06-30,3,"Manhattan: East Village and Chinatown","Condition attracting rodents",70
2022-06-30,3,"Manhattan: East Village and Chinatown","Mouse sighting",40
2022-06-30,3,"Manhattan: East Village and Chinatown","Rat sighting",268
2022-06-30,3,"Manhattan: East Village and Chinatown","Signs of rodents",38
2022-12-31,2,"Bronx: Grand Concourse","Condition attracting rodents",124
2022-12-31,2,"Bronx: Grand Concourse","Mouse sighting",102
2022-12-31,2,"Bronx: Grand Concourse","Rat sighting",481
2022-12-31,2,"Bronx: Grand Concourse","Signs of rodents",56
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Condition attracting rodents",159
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Mouse sighting",32
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Rat sighting",699
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Signs of rodents",94
2022-12-31,4,"Manhattan: Harlem","Condition attracting rodents",202
2022-12-31,4,"Manhattan: Harlem","Mouse sighting",99
2022-12-31,4,"Manhattan: Harlem","Rat sighting",1112
2022-12-31,4,"Manhattan: Harlem","Signs of rodents",575
2022-12-31,3,"Manhattan: East Village and Chinatown","Condition attracting rodents",61
2022-12-31,3,"Manhattan: East Village and Chinatown","Mouse sighting",30
2022-12-31,3,"Manhattan: East Village and Chinatown","Rat sighting",301
2022-12-31,3,"Manhattan: East Village and Chinatown","Signs of rodents",30
2023-06-30,2,"Bronx: Grand Concourse","Condition attracting rodents",98
2023-06-30,2,"Bronx: Grand Concourse","Mouse sighting",79
2023-06-30,2,"Bronx: Grand Concourse","Rat sighting",335
2023-06-30,2,"Bronx: Grand Concourse","Signs of rodents",64
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Condition attracting rodents",242
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Mouse sighting",38
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Rat sighting",763
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Signs of rodents",137
2023-06-30,4,"Manhattan: Harlem","Condition attracting rodents",249
2023-06-30,4,"Manhattan: Harlem","Mouse sighting",104
2023-06-30,4,"Manhattan: Harlem","Rat sighting",921
2023-06-30,4,"Manhattan: Harlem","Signs of rodents",469
2023-06-30,3,"Manhattan: East Village and Chinatown","Condition attracting rodents",56
2023-06-30,3,"Manhattan: East Village and Chinatown","Mouse sighting",16
2023-06-30,3,"Manhattan: East Village and Chinatown","Rat sighting",217
2023-06-30,3,"Manhattan: East Village and Chinatown","Signs of rodents",43
2023-12-31,2,"Bronx: Grand Concourse","Condition attracting rodents",122
2023-12-31,2,"Bronx: Grand Concourse","Mouse sighting",86
2023-12-31,2,"Bronx: Grand Concourse","Rat sighting",407
2023-12-31,2,"Bronx: Grand Concourse","Signs of rodents",68
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Condition attracting rodents",180
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Mouse sighting",36
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Rat sighting",663
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Signs of rodents",91
2023-12-31,4,"Manhattan: Harlem","Condition attracting rodents",260
2023-12-31,4,"Manhattan: Harlem","Mouse sighting",138
2023-12-31,4,"Manhattan: Harlem","Rat sighting",870
2023-12-31,4,"Manhattan: Harlem","Signs of rodents",1130
2023-12-31,3,"Manhattan: East Village and Chinatown","Condition attracting rodents",66
2023-12-31,3,"Manhattan: East Village and Chinatown","Mouse sighting",28
2023-12-31,3,"Manhattan: East Village and Chinatown","Rat sighting",262
2023-12-31,3,"Manhattan: East Village and Chinatown","Signs of rodents",39
