"date","zone_id","region","type","count"
2022-06-30,2,"Bronx: Grand Concourse","Bait applied",869
2022-06-30,2,"Bronx: Grand Concourse","Exterminator visits",1025
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Bait applied",2574
2022-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Exterminator visits",2661
2022-06-30,4,"Manhattan: Harlem","Bait applied",1579
2022-06-30,4,"Manhattan: Harlem","Exterminator visits",1828
2022-06-30,3,"Manhattan: East Village and Chinatown","Bait applied",967
2022-06-30,3,"Manhattan: East Village and Chinatown","Exterminator visits",1090
2022-12-31,2,"Bronx: Grand Concourse","Bait applied",1889
2022-12-31,2,"Bronx: Grand Concourse","Exterminator visits",1969
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Bait applied",2538
2022-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Exterminator visits",2680
2022-12-31,4,"Manhattan: Harlem","Bait applied",2574
2022-12-31,4,"Manhattan: Harlem","Exterminator visits",2741
2022-12-31,3,"Manhattan: East Village and Chinatown","Bait applied",1028
2022-12-31,3,"Manhattan: East Village and Chinatown","Exterminator visits",1077
2023-06-30,2,"Bronx: Grand Concourse","Bait applied",1946
2023-06-30,2,"Bronx: Grand Concourse","Exterminator visits",2106
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Bait applied",2882
2023-06-30,1,"Brooklyn: Bed Stuy and Bushwick","Exterminator visits",3003
2023-06-30,4,"Manhattan: Harlem","Bait applied",3980
2023-06-30,4,"Manhattan: Harlem","Exterminator visits",4176
2023-06-30,3,"Manhattan: East Village and Chinatown","Bait applied",1137
2023-06-30,3,"Manhattan: East Village and Chinatown","Exterminator visits",1195
2023-12-31,2,"Bronx: Grand Concourse","Bait applied",2618
2023-12-31,2,"Bronx: Grand Concourse","Exterminator visits",3003
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Bait applied",4214
2023-12-31,1,"Brooklyn: Bed Stuy and Bushwick","Exterminator visits",4428
2023-12-31,4,"Manhattan: Harlem","Bait applied",3174
2023-12-31,4,"Manhattan: Harlem","Exterminator visits",3804
2023-12-31,3,"Manhattan: East Village and Chinatown","Bait applied",519
2023-12-31,3,"Manhattan: East Village and Chinatown","Exterminator visits",553
